source,unmatched_node
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Non-Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Market-Based Environmental Policy Stringency
Does an environmental policy bring to green innovation in renewable energy?,Green Innovation for Different Energy Types
Does an environmental policy bring to green innovation in renewable energy?,Green Innovation for Different Energy Types
The Impact of Financing Constraints and Uncertainty on Manufacturing Innovation Efficiency: An Empirical Analysis from Chinese Listed Firms,Uncertainty of Financing Constraints
A Fuzzy-MOP-Based Competence Set Expansion Method for Technology Roadmap Definitions,Competence Set Expansion
Technology Spillovers among Innovation Agents from the Perspective of Network Connectedness,Other Domestic Enterprises
"An Empirical Review of Major Legislation Affecting Drug Development: Past Experiences, Effects, and Unintended Consequences",Commercialization of Drugs
"An Empirical Review of Major Legislation Affecting Drug Development: Past Experiences, Effects, and Unintended Consequences",Commercialization of Drugs
"An Empirical Review of Major Legislation Affecting Drug Development: Past Experiences, Effects, and Unintended Consequences",Commercialization of Drugs
The effect of national culture on countries’ innovation efficiency,PDI
The effect of national culture on countries’ innovation efficiency,PDI
The effect of national culture on countries’ innovation efficiency,PDI
The effect of national culture on countries’ innovation efficiency,PDI
The effect of national culture on countries’ innovation efficiency,PDI
The effect of national culture on countries’ innovation efficiency,IDV
The effect of national culture on countries’ innovation efficiency,IDV
The effect of national culture on countries’ innovation efficiency,IDV
The effect of national culture on countries’ innovation efficiency,IDV
The effect of national culture on countries’ innovation efficiency,IDV
The effect of national culture on countries’ innovation efficiency,MAS
The effect of national culture on countries’ innovation efficiency,MAS
The effect of national culture on countries’ innovation efficiency,MAS
The effect of national culture on countries’ innovation efficiency,MAS
The effect of national culture on countries’ innovation efficiency,MAS
The effect of national culture on countries’ innovation efficiency,UAI
The effect of national culture on countries’ innovation efficiency,UAI
The effect of national culture on countries’ innovation efficiency,UAI
The effect of national culture on countries’ innovation efficiency,UAI
The effect of national culture on countries’ innovation efficiency,UAI
Multiple Science Data-Oriented Technology Roadmapping Method,R&D planning and innovation tracking
Multiple Science Data-Oriented Technology Roadmapping Method,Topic Identification
Multiple Science Data-Oriented Technology Roadmapping Method,Expert Knowledge
Multiple Science Data-Oriented Technology Roadmapping Method,NSF Award Data
Multiple Science Data-Oriented Technology Roadmapping Method,Innovative Research Ideas
Multiple Science Data-Oriented Technology Roadmapping Method,Technical Products
Multiple Science Data-Oriented Technology Roadmapping Method,Feature Extraction
Multiple Science Data-Oriented Technology Roadmapping Method,Topic Identification
Multiple Science Data-Oriented Technology Roadmapping Method,TRM Generation
Multiple Science Data-Oriented Technology Roadmapping Method,Multiple Science Data Source Integration
Multiple Science Data-Oriented Technology Roadmapping Method,Multiple Science Data Source Integration
Exploring the Technological Collaboration Characteristics of the Global Integrated Circuit Manufacturing Industry,Potential for Future Development
Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory,Technological Niche’s Ecostate
Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory,Technological Niche’s Ecorole
Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory,Technological Niche’s Ecostate
Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory,Technological Niche’s Ecostate
Network Position Advantage and Technological Innovation of China’s New Energy Vehicle Based on the Perspective of Network Theory,Technological Niche’s Ecorole
Collective Intelligence: An Emerging World in Open Innovation,Collective Intelligence (CL) and Open Innovation (OI) effects
Collective Intelligence: An Emerging World in Open Innovation,Collective Intelligence (CL) and Open Innovation (OI) effects
Collective Intelligence: An Emerging World in Open Innovation,Collective Intelligence (CL) and Open Innovation (OI) effects
Collective Intelligence: An Emerging World in Open Innovation,Collective Intelligence (CL) and Open Innovation (OI) effects
Collective Intelligence: An Emerging World in Open Innovation,Collective Intelligence (CL) and Open Innovation (OI) effects
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Post Catch-up Trend
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Post Catch-up Trend
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Post Catch-up Trend
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Post Catch-up Trend
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Localization of Knowledge Creation
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Economic Emphasis on Scientific Development
A Comparative Study of Sustainable Transition from Catch-up to Post Catch-up of South Korea and China,Technology Field Focus
Long-Term City Innovation Trajectories and Quality of Urban Life,Smart Cities
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,In-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,In-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,In-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,In-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Number of forward citation patents (CITN)
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Number of forward citation patents (CITN)
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Number of forward citation patents (CITN)
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Number of forward citation patents (CITN)
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Out-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Out-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Out-licensing
Factors Affecting Outbound Open Innovation Performance in Bio-Pharmaceutical Industry-Focus on Out-Licensing Deals,Out-licensing
"Technology Innovation, Economic Growth and Carbon Emissions in the Context of Carbon Neutrality: Evidence from BRICS",Economic Growth (EG) Quadratic Term
Mapping the Territorial Adaptation of Technological Innovation Systems—Trajectories of the Internal Combustion Engine,Technological Adaptation
Exploring the Demand-Pull Effect on Green Innovation and Its Spatial Spillover Effects: Evidence from 261 Chinese Prefecture-Level Cities,Spatial Spillover Effects
Exploring the Demand-Pull Effect on Green Innovation and Its Spatial Spillover Effects: Evidence from 261 Chinese Prefecture-Level Cities,Spatial Spillover Effects
Text-Generated Fashion Influence Model: An Empirical Study on Style.com,Fashion Influence Network
Text-Generated Fashion Influence Model: An Empirical Study on Style.com,Fashion Influence Spread
Text-Generated Fashion Influence Model: An Empirical Study on Style.com,Fashion Symbol Detection
Text-Generated Fashion Influence Model: An Empirical Study on Style.com,Fashion Information Extraction
The Impact of Social Security Fund & Insurance Fund on Corporate Innovation,SOE
The Impact of Social Security Fund & Insurance Fund on Corporate Innovation,SOE
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
What Are The Respective Roles Of The Public And Private Sectors In Pharmaceutical Innovation?,Indirect Public-Sector Influence
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
Would the Urban Environmental Legislation Realize the Porter Hypothesis? Empirical Evidence Based on Panel Data of Chinese Prefecture Cities,Green TFP
