node_1,node_2,edge,source
Foreign Knowledge Stock (FEXPSTOCK and FEXEMSTOCK),Biofuel Patenting Activity,"The foreign knowledge stock based on investments in experimental PDPs in other countries is positively correlated with domestic biofuel patenting activity, indicating the presence of international knowledge spillovers.",What are the Innovation Effects of Pilot and Demonstration Plants? The Case of Advanced Biofuels in the Transport Sector
Commercialization Capability,Firm Performance,"The commercialization capability of a technology-based firm positively influences its performance, both in terms of short-term profitability (ROA) and long-term firm value (Tobin's Q).",Benefiting from External Knowledge: Commercialization Capability as a Moderator
Transaction-based Knowledge,Firm Performance,"The transaction-based knowledge of a technology-based firm positively influences its short-term profitability (ROA), but its effect on long-term firm value (Tobin's Q) is not significant.",Benefiting from External Knowledge: Commercialization Capability as a Moderator
Partnership-based Knowledge,Firm Performance,The partnership-based knowledge of a technology-based firm positively influences both its short-term profitability (ROA) and long-term firm value (Tobin's Q).,Benefiting from External Knowledge: Commercialization Capability as a Moderator
Commercialization Capability,Transaction-based Knowledge,"The interaction effect between commercialization capability and transaction-based knowledge is positive and significant for short-term profitability (ROA), but not significant for long-term firm value (Tobin's Q).",Benefiting from External Knowledge: Commercialization Capability as a Moderator
Commercialization Capability,Partnership-based Knowledge,The interaction effect between commercialization capability and partnership-based knowledge is positive and significant for both short-term profitability (ROA) and long-term firm value (Tobin's Q).,Benefiting from External Knowledge: Commercialization Capability as a Moderator
Firm Size,Firm Performance,"Firm size has a positive and significant effect on firm performance in most models, indicating that larger firms may have higher performance due to their ability to innovate.",Benefiting from External Knowledge: Commercialization Capability as a Moderator
R&D Intensity,Firm Performance,"R&D intensity contributes positively to the intellectual value (Tobin's Q) in the long run, but does not necessarily reflect in its short-term performance (ROA) due to high R&D expenses.",Benefiting from External Knowledge: Commercialization Capability as a Moderator
Absorbed Slack,Firm Performance,The negative and significant coefficients of absorbed slack suggest that firms with more organizational slack may appear inefficient for improving firm performance due to loose managerial controls.,Benefiting from External Knowledge: Commercialization Capability as a Moderator
Unabsorbed Slack,Firm Performance,"The negative and significant coefficients of unabsorbed slack, except for some models, suggest that firms with more uncommitted liquid resources may not efficiently improve firm performance.",Benefiting from External Knowledge: Commercialization Capability as a Moderator
Non-Obstruction Clauses,IP Policy Awareness,"The study found a low uptake of non-obstruction clauses, which may be due to biobanks' lack of awareness of available IP terms or their non-enforceable nature.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
March-In Clauses,Breaches of Research Standards,March-in clauses are used to address breaches of research standards and are considered enforceable mechanisms to prevent unreasonable licensing practices.,"An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Grant-Back Clauses,Internal Biobank Use,"Grant-back clauses are used for internal biobank purposes, such as handling users' IP for data analysis or biological sample methods, and can be seen as a reasonable exchange for provided materials.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Return-of-Results Clauses,Data Quality and Reproducibility,"The study found that biobanks may be concerned about the quality and reproducibility of returned data, which influences their decision to adopt return-of-results clauses.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Reach-Through Clauses,Financial Sustainability,"Reach-through clauses, particularly those related to royalties, can contribute to biobanks' financial sustainability, but their implementation should be carefully considered to avoid deterring users.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Financial Access Conditions,Biobank Size,"The study found that larger biobanks are more likely to have defined IP policies and financial access conditions, reflecting their greater capacity to engage in translational research.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Biobank Research Focus,IP Policy Adoption,"Biobanks with a focus on areas such as cancer research, which often aims at clinical translation, might be more inclined to adopt IP policies due to the need for IP in translational processes.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Managing Organizations,IP Policy Development,"The type of organization managing the biobank, such as universities or research institutes, may influence the development and refinement of IP policies.","An empirical study of large, human biobanks: intellectual property policies and financial conditions for access"
Enterprise Value,Firm Performance,"Stem cells and regenerative medicine DBFs have a higher enterprise value, indicating better firm performance.",Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Number of Employees,Firm Performance,"Stem cells and regenerative medicine DBFs have a larger employment capacity, indicating better firm performance.",Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Firm Size,Assets and Pipelined Projects,No significant difference was observed between DBFs in terms of total assets or the number of in-clinical and marketed projects.,Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Number of Patents,Innovation,A larger number of patents indicates a higher level of innovation and technical competency within the firm.,Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Patent Assignees,Diversity of Intellectual Property,A larger pool of patent assignees indicates a more diverse intellectual property base.,Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Career Experience of Firm Management,Firm Management Capability,CEOs and managers with longer career histories may contribute to better firm management capabilities.,Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Firm Ownership,Access to Resources,Ownership by 'other firms' rather than traditional shareholders may indicate a different attitude towards active partnering for sustaining businesses.,Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Strategic Alliances,Resource Sharing and Core Competencies,"Strategic alliances offer resources to utilize codified and tacit knowledge, benefiting the performance of both partner firms.",Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
R&D Funding,Innovation and Product Development,"R&D funding is crucial for conducting the research needed to bring a product to market, often relying on governments, big pharmaceutical, and venture capital companies.",Challenges in Commercializing Stem Cells and Regenerative Medicine Technologies: A Case Study on Dedicated Biotech Firms in Japan
Business Method Innovation,Tobin’s q,"Firms engaged in business method innovation, as evidenced by patents, experienced an increase in market value, with the valuation of the firms increasing by 9% after the State Street ruling, as measured by Tobin’s q.",Business Method Innovation in U.S. Manufacturing and Trade
State Street Ruling,Business Method Innovation,"The State Street ruling acted as an incentive shock toward disclosure for business method innovators, leading to an increase in the valuation of these firms relative to non-innovators.",Business Method Innovation in U.S. Manufacturing and Trade
Firm Characteristics,Tobin’s q,"Firm characteristics such as innovation capabilities, strategic positioning, and size and returns to existing assets are controlled for in the analysis to ensure that the value is not confounded with effects because of firm size or other characteristics.",Business Method Innovation in U.S. Manufacturing and Trade
Circular Economy Policy (CEP),Green Patent Applications,"The implementation of CEP has a significant positive effect on green patent applications, indicating that CEP stimulates green innovation.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
Government Attention on Science and Technology (S&T),Green Patent Applications,"Increased government attention on S&T, as measured by expenditure and ratio of S&T expenditure, positively affects green innovation performance.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
Economic Agglomeration,Green Patent Applications,"Economic agglomeration, as indicated by higher GDP per unit of built-up area, is positively associated with green innovation, suggesting that concentrated economic activity fosters innovation.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
Geographical Location,Green Patent Applications,"Cities located in southern China experience a larger positive effect of CEP on green innovation, indicating regional disparities in innovation responses to CEP.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
City Development Level,Green Patent Applications,"More developed cities, as indicated by a higher tier in the RCBA, show a greater increase in green innovation following the implementation of CEP.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
Education Resources,Green Patent Applications,"Cities with higher education resources, marked by the presence of Project 211 universities, receive a significantly greater impact of CEP on green innovation.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
Resource Endowment,Green Patent Applications,"The effect of CEP on green innovation is significantly weaker in resource-based cities, suggesting that reliance on resource industries may hinder the adoption of circular economy practices and green innovation.","Circular Economy, Open Innovation, and Green Innovation: Empirical Evidence From Prefecture-Level Cities in China"
Recognition Ability,Patents Sold,"There is a positive relationship between a firm’s ability to recognize technology value and its patent sales, indicating that firms with stronger recognition abilities sell more patents.",“Cleaning the Closet”: Examining Firm Patent Sales Through the Lens of Absorptive Capacity
Assimilation Ability,Patents Sold,"Assimilation ability weakens the positive relationship between a firm’s recognition ability and its patent sales, suggesting that firms with stronger assimilation abilities are less likely to sell patents for the same level of recognition ability.",“Cleaning the Closet”: Examining Firm Patent Sales Through the Lens of Absorptive Capacity
Commercialization Ability,Patents Sold,"Commercialization ability weakens the positive relationship between a firm’s recognition ability and its patent sales, indicating that firms with stronger commercialization abilities sell fewer patents for the same level of recognition ability.",“Cleaning the Closet”: Examining Firm Patent Sales Through the Lens of Absorptive Capacity
Corporate Innovation,Dividend Payout Policy,There is a positive relationship between corporate innovation and the propensity to pay cash dividends. Firms with more effective patents are more likely to distribute cash dividends to their shareholders.,Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Corporate Innovation,Dividend Payout Policy,"The number of effective patents a firm holds is positively associated with the level of cash dividend payment, indicating that more innovative firms tend to pay higher cash dividends.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Firm Size,Dividend Payout Policy,"Firm size, as measured by the book value of total assets, influences the dividend payout policy, with larger firms typically having a higher propensity to pay dividends.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Growth Rate of Total Assets,Dividend Payout Policy,"The growth rate of total assets is a factor in determining dividend payout policy, with growing firms potentially having different dividend payout behaviors.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Market Value to Book Value Ratio,Dividend Payout Policy,"The market value to book value ratio may influence dividend payout policy, reflecting the market's perception of the firm's value relative to its book value.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Earnings Before Interest to Total Assets Ratio,Dividend Payout Policy,"A higher ratio of earnings before interest to total assets suggests greater profitability, which may positively influence a firm's decision to pay dividends.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Managerial Ownership,Dividend Payout Policy,"Managerial ownership, represented by the percentage of shares held by top executives, can affect dividend payout policy, potentially mitigating agency problems and influencing dividend decisions.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Net Cash Flow from Operating Activities,Dividend Payout Policy,"A firm's net cash flow from operating activities, as a measure of its cash generation, can influence its ability and decision to pay cash dividends.",Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
Financial Leverage,Dividend Payout Policy,Highly leveraged firms may be less likely to pay cash dividends due to their capital structure and debt obligations.,Corporate Innovation and Dividend Payout Policy: Evidence From China’s Listed Companies
CSR,Innovation Output,"CSR strengthens the positive linkage between R&D investment and innovation outcome, indicating that higher levels of CSR can enhance the quality of R&D input and increase innovation output.",Corporate Social Responsibility and Innovation: Evidence from Emerging Economies
R&D Expenditure,Innovation Output,"There is a positive relationship between R&D input and patents, suggesting that more R&D investment leads to more patents.",Corporate Social Responsibility and Innovation: Evidence from Emerging Economies
CSR,Firm Performance,"CSR has an inverse-U-shape relationship with firm performance, indicating that both high and low levels of CSR may not be optimal for firm performance.",Corporate Social Responsibility and Innovation: Evidence from Emerging Economies
Patents,Firm Performance,"Patents have a positive effect on firm performance, reflecting the innovation differentiation strategy and its impact on market value.",Corporate Social Responsibility and Innovation: Evidence from Emerging Economies
CSR,Patents,"The interaction between CSR and the number of patents has a negative impact on firm performance, possibly due to the excessive use of limited resources, leading to a decline in firm performance.",Corporate Social Responsibility and Innovation: Evidence from Emerging Economies
Business Unit (BU) Inventions,Willingness to License,BU-based inventions are less likely to enter the licensing market compared to R&D-based inventions.,Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
R&D Inventions,Willingness to License,R&D-based inventions are more likely to enter the licensing market compared to BU-based inventions.,Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Business Unit (BU) Inventions,Licensing Exclusivity,BU-based inventions are more likely to have exclusivity clauses in the licensing contract than R&D-based inventions.,Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Invention Scope,Licensing Exclusivity,"Inventions with a broader scope, as measured by the log of the number of claims, may be more likely to have exclusivity clauses in the licensing contract.",Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Firm Size,Licensing Exclusivity,"Larger firms are less likely to have exclusivity clauses in the licensing contract, suggesting a preference for more open licensing strategies.",Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
External Coinventor,Willingness to License,The presence of external coinventors does not significantly affect the willingness to license.,Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Industry Annual Growth,Willingness to License,"An increase in industry annual growth is positively associated with the willingness to license, indicating that higher demand for new technologies may drive firms' incentive to license.",Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Competition,Willingness to License,"Higher competition in the market increases the incentive to license, suggesting that a larger number of potential suppliers of a technology creates a strategic incentive to license.",Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Patent Effectiveness,Willingness to License,"Patent effectiveness does not have a significant effect on the willingness to license, indicating that the strength of intellectual property rights may not directly influence the decision to participate in the licensing market.",Customizing Licensing Strategies to Inventions: Comparing Business Unit and R&D Inventions
Conceptual Model,Search Strategy,The conceptual model aids in refining a reasonable search strategy for identifying core technologies and communities.,Detecting Technological Recombination for Potential R&D Exploration
Search Strategy,Community Detection,A reliable search strategy is essential for retrieving patent records that are later analyzed by community detection methods.,Detecting Technological Recombination for Potential R&D Exploration
Community Detection,Evaluation System,"Community detection helps identify core components within communities, which are then evaluated using the evaluation system to select candidate technologies.",Detecting Technological Recombination for Potential R&D Exploration
Evaluation System,Degree Centrality,The evaluation system uses degree centrality as an index to measure the potential of technologies to form innovative combinations.,Detecting Technological Recombination for Potential R&D Exploration
Evaluation System,Clustering Coefficient,The evaluation system also uses the clustering coefficient to assess the potential of technologies for recombination.,Detecting Technological Recombination for Potential R&D Exploration
Closeness Centrality,Betweenness Centrality,Both closeness and betweenness centrality are used by the evaluation system to identify influential technologies within a community.,Detecting Technological Recombination for Potential R&D Exploration
Term Frequency Ratio,Hot Technologies,The term frequency ratio helps in identifying hot technologies that are gaining increasing research attention in recent years.,Detecting Technological Recombination for Potential R&D Exploration
Patent Network Analysis,Conceptual Model,Patent network analysis uses the conceptual model to extract technical intelligence and detect potential technological recombination groups.,Detecting Technological Recombination for Potential R&D Exploration
Corporate Collaboration,Green Innovation Output,Corporate collaboration is positively associated with corporate green innovation output and patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Commercial Credit,Green Innovation Output,Good commercial credit is positively associated with corporate green innovation output and patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Government Subsidies,Green Innovation Output,Government subsidies are positively related to firms' green innovation output and green innovation patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Regional University R&D Intensity,Green Innovation Output,Regional university R&D intensity is positively associated with corporate green innovation output but not significantly related to green innovation patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Regional Research Institution R&D Intensity,Green Innovation Output,Regional research institutions' R&D intensity is not significantly related to green innovation output and may negatively affect green innovation patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Short-term Loans,Green Innovation Output,An increase in short-term corporate bank loans is not conducive to corporate green innovation output and patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Long-term Loans,Green Innovation Output,Long-term corporate loans increase corporate green innovation output but decrease corporate green innovation patent diversity.,Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
Government Attention,Green Innovation Output,"Government attention directly increases corporate green innovation output and patent diversity and strengthens the positive impact of corporate innovation cooperation, government subsidies, and long-term loans on corporate green innovation output.",Development of Ecosystem for Corporate Green Innovation: Resource Dependency Theory Perspective
FDI,Regional Innovation Performance,"FDI has a significant positive impact on regional innovation performance in China, indicating a positive technology spillover effect.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
OFDI,Regional Innovation Performance,"OFDI does not have a significant impact on regional innovation performance in China, suggesting no significant promotion effect on innovation.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
Institutional Distance,FDI,"Institutional distance has a significant negative moderating effect on the positive impact of FDI on regional innovation performance, indicating that a larger institutional distance hinders the absorption of FDI technology spillovers.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
Institutional Distance,OFDI,"The moderating effect of institutional distance on the reverse technology spillover effect of OFDI is not significant, suggesting that institutional distance does not significantly hinder the reverse technology spillover of OFDI.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
R&D Investment,Regional Innovation Performance,"R&D investment has a significant positive correlation with regional innovation performance, indicating the importance of domestic R&D investment to domestic technological innovation.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
Human Capital,Regional Innovation Performance,"Human capital has a significant positive correlation with regional innovation performance, suggesting the importance of human resources to domestic technological innovation.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
Regional Economic Level,Regional Innovation Performance,"Regional economic level has a significant positive correlation with regional innovation performance, indicating the importance of the regional economic level to domestic technological innovation.",Does Institutional Distance Affect Transnational Knowledge Spillovers Between Countries?
Academic Inventors,Research Interests,"Academic inventors have less diverse research interests than researchers with a single role, such as solely publishing authors or solely patenting inventors.",Do academic inventors have diverse interests?
Degree Centrality,Interest Diversity,"Degree centrality has a significant positive correlation with the diversity of research interests, indicating that researchers with more connections tend to have more diverse interests.",Do academic inventors have diverse interests?
Constraint,Interest Diversity,"Constraint has a significant negative correlation with the diversity of research interests, suggesting that researchers in less constrained positions have more diverse interests.",Do academic inventors have diverse interests?
Closeness Centrality,Interest Diversity,"Closeness centrality shows a significant weaker negative correlation with interest diversity for academic inventors, but not for researchers with a single role.",Do academic inventors have diverse interests?
Normalized Betweenness Centrality,Interest Diversity,"Normalized betweenness centrality does not correlate with interest diversity, indicating that being a bridge in the network does not affect the diversity of interests.",Do academic inventors have diverse interests?
Network Position,Science-Technology Interactions,"Researchers with more central network positions, such as academic inventors, are more likely to facilitate science-technology interactions.",Do academic inventors have diverse interests?
Author Interest Discovery Model,Research Interests,"The Author Interest Discovery Model with credit allocation schemes is utilized to measure the diversity of each researcher's interests, providing insights into their research focus areas.",Do academic inventors have diverse interests?
IP Management Strategy,Innovative Outputs,"A firm's IP management strategy positively affects the production of innovative outputs, especially patents and trademarks.",Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
R&D Inputs,Innovative Outputs,"R&D investments and human resources are important factors for increasing IP outputs, particularly patents.",Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
IP Function,Trademarks,"The existence of an IP department enhances the production of trademarks, indicating a positive relationship.",Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
IP Compensation,Trademarks,A compensation policy for IP is associated with an increase in the production of trademarks.,Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
Conglomerate,Innovative Outputs,"Conglomerates have a systematically strong linkage between the IP management level and innovative outputs, suggesting better management of IPRs.",Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
Large Firm,Patents,"Large firms are more effective in producing patent outputs, likely due to robust IP management frameworks.",Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
Innovative Outputs,Financial Performance,"Patents and trademarks have a positive role in enhancing financial performances of firms, while industrial designs do not show a similar effect.",Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
R&D Intensity,Financial Performance,Excessive R&D investment could yield a decrease in firms’ financial performance due to short-term costs and sunk costs from non-fruitful R&D.,Do IP Management Strategies Spur Innovative Outputs and Firm's Performance?: Evidence from Korean Manufacturing Industries
Intellectual Property Rights (IPRs),Access to Medicines,"IPRs may restrict access to medicines by granting exclusive rights to patent holders, potentially leading to higher prices and limited availability.",TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Trade-Related Aspects of Intellectual Property Rights (TRIPS),Generic Manufacturers,TRIPS provides a framework that can impact the ability of generic manufacturers to produce and sell more affordable versions of patented drugs.,TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Compulsory Licensing (CLs),Access to Medicines,"CLs can increase access to medicines by allowing countries to bypass patent holder's protections under certain circumstances, such as public health emergencies.",TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Parallel Import,Access to Medicines,Parallel import can improve access to medicines by allowing the purchase of drugs from markets where they are sold at lower prices.,TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Low- and Middle-Income Countries (LMICs),Generic Manufacturers,LMICs often rely on generic manufacturers to provide more affordable access to essential medicines.,TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Public-Private Partnerships (PPPs),Access to Medicines,"PPPs can facilitate the development and distribution of essential medicines, particularly in LMICs, by combining resources and expertise from both sectors.",TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Voluntary Licensing,Access to Medicines,"Voluntary licensing agreements can promote access to medicines by allowing broader production and distribution, especially in LMICs.",TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Medicines Patent Pool (MPP),Access to Medicines,"The MPP increases access to medicines by negotiating licenses for essential medicines, enabling generic manufacturers to produce these drugs at lower costs.",TRIPS to Where? A Narrative Review of the Empirical Literature on Intellectual Property Licensing Models to Promote Global Diffusion of Essential Medicines
Exports (EXP),Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT),"Exports exhibit a significant positive relationship with patents, indicating that increased exports can stimulate an increase in patent output.","Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents"
Outward Direct Investment (ODI),Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT),"Outward direct investment shows a significant positive relationship with patents, suggesting that countries engaged in ODI can access knowledge and technology, leading to innovation and patent applications.","Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents"
Inward Direct Investment (IDI),Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT),"Inward direct investment exhibits a negative relationship with domestic patents, implying that foreign investment inflows may not benefit domestic innovation and can negatively impact it.","Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents"
Cross-Border Mergers and Acquisitions (M&A_SALE),Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT),"Cross-border M&As by foreigners show a positive, but not significant, relationship with patents, indicating a limited positive effect on innovation.","Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents"
Other Direct Investment (PRIVATE),Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT),"Other direct investment has a negative relationship with patents at the 10% level, suggesting it may have a stronger negative effect on patents than the positive effect of cross-border M&As.","Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents"
Gross Domestic Expenditure on R&D (GERD) / Expenditure on R&D in the Business Enterprise Sector (BERD),Triadic Patents (TRI_PATENT) / European Patent Office Patents (EPO_PATENT),"R&D expenditure with a lag of one period has a significant and positive impact on the number of patents, explaining the deferred nature of the impact of R&D input on patents.","Globalization and Knowledge Spillover: International Direct Investment, Exports and Patents"
R&D Expenditure,Shanghai Scores,"There is a strong, positive relationship between a country's R&D expenditure and its universities' scores in the Shanghai Ranking.","Empirical Study of the Factors which Have an Impact on University Performance in EU Countries, Reflected by the Shanghai Ranking"
Public Expenditure on Education,Shanghai Scores,"There is a strong, positive relationship between public expenditure on education and the scores of a country's universities in the Shanghai Ranking.","Empirical Study of the Factors which Have an Impact on University Performance in EU Countries, Reflected by the Shanghai Ranking"
Graduated Students,Shanghai Scores,There is no significant linear relationship between the number of graduated students aged 30-34 years and the scores of a country's universities in the Shanghai Ranking.,"Empirical Study of the Factors which Have an Impact on University Performance in EU Countries, Reflected by the Shanghai Ranking"
International Students,Shanghai Scores,There is a moderate to strong positive relationship between international student mobility and the scores of a country's universities in the Shanghai Ranking.,"Empirical Study of the Factors which Have an Impact on University Performance in EU Countries, Reflected by the Shanghai Ranking"
Patent Stock,Shanghai Scores,"There is a strong, positive relationship between a country's patent stock and its universities' scores in the Shanghai Ranking.","Empirical Study of the Factors which Have an Impact on University Performance in EU Countries, Reflected by the Shanghai Ranking"
Lifelong Learning,Shanghai Scores,"There is a strong, positive relationship between lifelong learning participation and the scores of a country's universities in the Shanghai Ranking.","Empirical Study of the Factors which Have an Impact on University Performance in EU Countries, Reflected by the Shanghai Ranking"
R&D Investment,Innovation Outcomes,"The scale and intensity of R&D investment are highly relevant to the outputs of innovation outcomes, indicating that greater investment leads to more innovation.",Empirical Study on the R&D Spillover Effect among Regional Industries
Innovation Outcomes,Economic Growth,"Innovation outcomes from R&D activities have a positive effect on economic growth, as they can lead to new technologies and products that drive market value and overall economic activity.",Empirical Study on the R&D Spillover Effect among Regional Industries
TFP (Total Factor Productivity),Economic Growth,"TFP growth has played a significant role in output, with a contribution rate of 74.5 percent, indicating that improvements in technological progress and innovation efficiency are major drivers of economic growth.",Empirical Study on the R&D Spillover Effect among Regional Industries
Beneficiary Effect,Innovation Outcomes,"Sectors with a higher beneficiary effect gain more R&D spillover from other sectors, which can lead to increased innovation outcomes.",Empirical Study on the R&D Spillover Effect among Regional Industries
Contributor Effect,Beneficiary Effect,"Sectors with a higher contributor effect provide more R&D spillover to other sectors, potentially increasing the beneficiary effect of those sectors.",Empirical Study on the R&D Spillover Effect among Regional Industries
Scientific Researching Cause,Contributor Effect,"The scientific researching cause sector has the largest contributor effect, indicating that it provides the most significant R&D spillover to other sectors.",Empirical Study on the R&D Spillover Effect among Regional Industries
Industrial Structure,Economic Growth,"The optimization of the industrial structure, particularly the development of high-tech industries, can lead to sustainable, stable, and rapid economic growth.",Empirical Study on the R&D Spillover Effect among Regional Industries
Tertiary Industry,Economic Growth,"The development of the tertiary industry, especially emerging service sectors, can contribute to economic growth by providing services that support production and living needs.",Empirical Study on the R&D Spillover Effect among Regional Industries
Capital Input,Economic Growth,"Capital input is one of the main driving forces behind economic growth, but the study emphasizes the importance of R&D spillover effects and TFP growth over capital input alone.",Empirical Study on the R&D Spillover Effect among Regional Industries
R&D Investment,Patent Applications,"A positive marginal effect of R&D investment on patenting is indicated, meaning that an increase in R&D investment leads to an increase in patent applications.",Marginal Effect of R&D Investment and Impact of Market Reforms—An Empirical Analysis of Japanese Electric Power Companies
Market Liberalization,Patent Applications,"Retail market liberalization for high voltage consumers (DEREG2) has a positive effect on patent applications, while more advanced liberalization (DEREG3) may reverse the effect and negatively impact innovation.",Marginal Effect of R&D Investment and Impact of Market Reforms—An Empirical Analysis of Japanese Electric Power Companies
R&D Investment,Innovation Efficiency,"The degree of the marginal effect of R&D investment on innovations declines with retail market liberalization for high-voltage consumers, implying that innovation efficiency decreases due to the progress of deregulation.",Marginal Effect of R&D Investment and Impact of Market Reforms—An Empirical Analysis of Japanese Electric Power Companies
Number of Employees,Patent Applications,"The number of employees in a company has a positive relationship with the number of patent applications, indicating that larger workforces may contribute to more inventive activities.",Marginal Effect of R&D Investment and Impact of Market Reforms—An Empirical Analysis of Japanese Electric Power Companies
