name,define,source
Enterprises' Scale,"The number of employees, which is chosen as the input index to reflect the size and R&D strength of software enterprises.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Number of Licensed Patents,"The output index measuring the innovation performance and output of inventions, especially commercially valuable patents.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Innovation Efficiency,"The overall efficiency of software enterprises' innovation processes, combining technical and scale efficiency.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Technical Efficiency,"The measure of how close outputs are to their maximum relative to inputs, indicating the best practice level.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Scale Efficiency,"The measure of returns to scale, indicating whether the enterprise operates at an optimal scale.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Service Software Enterprises,"A category of software enterprises focused on computer services, distinguished from product software enterprises.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Product Software Enterprises,"A category of software enterprises focused on software products, distinguished from service software enterprises.",Evaluation Model and Empirical Study for Innovation Efficiency of Software Industry
Corporate Innovation,"A variable representing a firm's innovation activities, operationalized through the number of patents filed and the cumulative number of patents.",Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Environmental Performance,"A variable representing a firm's involvement in environmental sustainability, measured by the degree to which a firm addresses environmental concerns arising from its operations.",Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Trade-off Costs,A conceptual variable representing the costs associated with the allocation of resources between innovation and environmental sustainability activities.,Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Resource Allocation Approach,A theoretical framework suggesting a negative relationship between a firm's innovation and its environmental performance due to budget constraints.,Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Eco-Innovation Approach,"A theoretical framework proposing that higher-quality innovation leads to better environmental performance, suggesting a positive relationship between innovation and environmental sustainability.",Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Firm Size,"A control variable representing the size of the firm, measured by the number of employees and the value of total assets.",Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Industry Asset Intensity,"A control variable representing the barrier to exit in studying diversification strategies, measured by aggregating total assets for firms with the given 3-digit SIC code.",Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Prior Environmental Performance,A control variable representing the firm's environmental performance in the previous year.,Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Prior Financial Performance,"A control variable measured by return-on-assets (ROA), adjusted by industry-level ROA.",Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Number of Executives,A control variable representing the influence of the upper-echelon's decision-making on environmental performance.,Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
Marketing Intensity,A control variable measured with the ratio of administrative expenditures to R&D expenditures.,Curvilinear Relationship between Corporate Innovation and Environmental Sustainability
"Technological Relatedness (ωi,α,t)",A measure of the proportion of related technologies already existing in a firm.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Technological Complexity (TCIα,t)",A measure used to capture the structural characteristics of a technology and a firm's technological capability.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Government R&D Support (Govi,α,t)",A binary variable indicating whether a firm received government support for developing a specific technology.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Firm Age (Agei,t)",The tenure of a firm since its inception.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Number of Employees (num_employeei,t)",A measure of the size of the firm.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Profit Ratio (Profit_ratioi,t)",A measure of profit-to-sales ratio of a firm.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Debt Ratio (Debt_ratioi,t)",A measure of total liabilities to total assets of a firm.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Number of Revealed Technological Advantages (num_RTAi,t)",A measure of the number of technologies that offer an advantage within a firm.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
"Number of Competitors (num_competitorα,t)",The number of firms that have a comparative advantage in a specific technology.,Factors That Affect the Technological Transition of Firms Toward the Industry 4.0 Technologies
Green Innovation (GI),"The output of green innovation, measured by the number of green innovation patents.",Assessing the Impact of Green Innovation on Corporate Sustainable Development
Corporate Sustainable Development Ability (SGR and SUS),"The long-term profitability and lasting competitiveness of enterprises, measured by the sustainable growth ratio (SGR) and another index (SUS).",Assessing the Impact of Green Innovation on Corporate Sustainable Development
Corporate Social Responsibility (CSR),"The overall performance of the listed companies' CSR, measured by the CSR score.",Assessing the Impact of Green Innovation on Corporate Sustainable Development
Scientific Research Ability (HIGHTECH),A binary variable indicating whether a company belongs to one of the six high-tech industries.,Assessing the Impact of Green Innovation on Corporate Sustainable Development
Invention Patents (GI-INVENTION),The number of green invention patents authorized.,Assessing the Impact of Green Innovation on Corporate Sustainable Development
Non-Invention Patents (GI-OTHER),The number of green utility model patents and green appearance patents authorized.,Assessing the Impact of Green Innovation on Corporate Sustainable Development
State-Owned Enterprises (SOE),A binary variable indicating whether a company is state-owned.,Assessing the Impact of Green Innovation on Corporate Sustainable Development
Property Rights,"The nature of property rights, which may influence the relationship between green innovation and corporate sustainable development.",Assessing the Impact of Green Innovation on Corporate Sustainable Development
Patent Applications (GI_Application),The number of green patent applications as an alternative measure for green innovation.,Assessing the Impact of Green Innovation on Corporate Sustainable Development
Green Patent Applications,"A count variable representing the number of green patent applications, used to indicate green technology innovation.",How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Policy Quantity,"A variable representing the sum of comprehensive policy quantity in the research period, reflecting the cumulative effect of policies on green technology innovation.",How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Policy Effectiveness,"A variable representing the score of green technology innovation policy effectiveness, based on the level of policy promulgation.",How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Policy Executive Force,"A variable representing the score of green technology innovation policy executive force, based on the level of policy promulgation.",How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Enterprise Innovation Vitality,"A variable measured by the new product sales revenue of industrial enterprises, indicating the ability to develop and adopt new products and process technologies.",How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Industry-University-Research Cooperation,A variable measured by the sum of the investment in research institutes and universities of industrial enterprises' R&D external expenditures.,How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Degree of Fiscal Attention,"A variable measured by the ratio of local fiscal expenditure on science, technology, and environment to local fiscal expenditure on the general budget.",How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Degree of Openness,A variable represented by foreign direct investment in various provinces.,How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Technology Environment,A variable expressed by employees of science and technology and environment units in various provinces.,How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Economic Development,A variable measured by the per capita GDP in various provinces.,How Does Government Policy Improve Green Technology Innovation: An Empirical Study in China
Deleveraging Policy,A policy issued by the State Council of China in 2016 aimed at reducing enterprise leverage and optimizing capital structure.,Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Enterprise Green Innovation,"New technologies or processes that help reduce pollution and save resources, measured by the number of green patent applications.",Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Equity Financing,"A method of financing where enterprises issue shares to raise funds, used to measure the change in owner's equity.",Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Ownership Concentration,"Measured by the shareholding ratio of the top five shareholders, indicating the level of internal supervision.",Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Green Invention Patents,"A type of green patent with higher technological content, attracting more investors sensitive to green innovation.",Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Green Utility Model Patents,A type of green patent with lower technological content compared to invention patents.,Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Enterprise Size,A categorical variable dividing enterprises into large-scale and small-scale based on operating income and number of employees.,Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Property Right,A dummy variable indicating whether the enterprise is state-owned or non-state-owned.,Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Industry Characteristics,A dummy variable for technology-intensive enterprises versus other types of enterprises.,Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Financial Development Level,A dummy variable indicating whether the region is financially developed or undeveloped based on the marketization index.,Research on the Impact of Deleveraging Policy on Enterprise Green Innovation: An Empirical Study in China
Special Economic Zones (SEZs),A policy initiative aimed at promoting regional economic growth and development.,Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Green Technology Innovation,The process of creating and developing new technologies that are environmentally friendly and sustainable.,Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Green Patent Applications,The number of applications for patents related to green technology innovations.,Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Preferential Policy Subsidies,"Financial incentives provided by the government to encourage certain activities or behaviors, such as green technology innovation.",Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Agglomeration Effect,"The economic benefits that arise when similar or related industries cluster together, often leading to increased productivity and innovation.",Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Enterprise Ownership,"The type of ownership of an enterprise, which can influence its access to resources and its strategic decisions.",Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Regional Level,"The geographical scope or tier of the region, which can affect the implementation and impact of policies like SEZs.",Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Innovation Efficiency,"A measure of the effectiveness of innovation activities, often related to the output of patents per unit of R&D input.",Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
R&D Expenditure,The amount of money spent on research and development activities by an enterprise.,Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Enterprise Characteristics,"Attributes of an enterprise, such as its size, age, and industry, which can influence its innovation capabilities.",Can the Special Economic Zones Promote the Green Technology Innovation of Enterprises? An Evidence From China
Economic Complexity Index (ECI),A measure of the capacity of an economy to connect locations to the economic activities present in them.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Green Openness Index (GOP),The share of the total present value of exported and imported green goods as a percentage of GDP.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Financial Development Index (FinDev),An aggregate of Financial Institutions index and Financial Markets Index.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Research and Development Expenditures (R&D),Research and development expenditures as a percentage of GDP.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Total Patents (PT),Patent applications filed through the Patent Cooperation Treaty procedure or with a national patent office.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Human Capital (HC),"Human Capital Index, based on years of schooling and returns to education.",How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Gross Capital Formation (GCF),Share of Gross Capital formation in GDP.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Foreign Direct Investment (FDI),Foreign Direct Investment net inflows as a percentage of GDP.,How Green is the Economic Complexity in the Central and Eastern European Union Countries?
Corporate Green Innovation,Measured by the application and authorization volume of green patents.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
ESG Ratings,"A method for assessing a company’s performance in the areas of environment, social responsibility, and governance.",The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Financing Constraints,"Challenges that companies face during financing, potentially leading to capital shortages and restrictions on investments.",The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Return on Assets,Net profit of enterprise / Average value of total assets of Enterprise.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Debt to Assets Ratio,Total liabilities / Total Assets.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Firm Age,Natural logarithm of the year minus the year the company went public plus one.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Revenue Growth Rate,(Current period operating income - Previous period operating income) / Previous Period operating income.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Equity Concentration,Largest shareholder shareholding / total shares.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Capital Intensity,Natural logarithm of net fixed assets / Total number of employees.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Employee Labor Productivity,Natural logarithm of revenue / Total number of employees.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
CEO-Chairperson Duality,"A binary variable where the value is 1 if the chairman and the general manager are the same person, otherwise it is 0.",The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
Proportion of Independent Directors,Number of independent directors / Number of board members.,The impact of ESG ratings under market soft regulation on corporate green innovation: an empirical study from informal environmental governance
National High-Tech Zone Policy Implementation,A policy dummy variable indicating the establishment of national high-tech zones.,Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Enterprise Green Innovation,"A variable measured by the number of green patents, including green invention patents and green utility model patents.",Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Factor Agglomeration Effect,"The effect of improving the agglomeration of talent, capital, and other resources to boost regional technological growth.",Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Innovation-Driving Effect,The effect of promoting innovation and development in high-tech industries and surrounding linked firms.,Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Institutional Environmental Effect,"The effect of improving the regional institutional environment, reducing business transaction costs and production costs.",Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Economic Development Strength,"A categorical variable representing the level of economic development in different regions, such as first- and second-tier cities, and third-tier cities and below.",Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Enterprise Ownership,"A categorical variable representing the ownership structure of enterprises, such as state-owned and non-state-owned enterprises.",Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Industry Type,A categorical variable representing whether the industry is high-tech or non-high-tech.,Achieving carbon neutrality: How does the construction of national high-tech zones affect the green innovation of enterprises? Based on quasi-natural experiments in pilot areas in China
Spatial Position,"The physical location of an individual on a campus, potentially influencing collaboration patterns.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Academic Output,"Includes papers and patents produced by faculty at MIT, serving as a measure of research productivity.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Organizational Structures,Involves institutional affiliation and spatial configuration of faculty members at MIT.,An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Collaboration Patterns,"Includes the network topology, community structure, and trends in team composition over time.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Proximity,"The physical distance between researchers, found to have a relationship with the intensity of collaboration.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Cross-Disciplinary Collaboration,"The extent of collaboration across different disciplines, with different patterns observed for papers and patents.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Institutional Collaboration,"The level of collaboration within institutional boundaries, showing different trends for papers and patents.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Community Structure,"The organization of collaborative groups within the network, revealing spatial versus institutional collaboration bias.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Network Topology,"The structure of the network of authors, showing significant features of collaboration on campus.",An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
Exponential Decay Model,A model that describes the relationship between physical proximity and collaboration intensity.,An exploration of collaborative scientific production at MIT through spatial organization and institutional affiliation
SHII,"International collaboration level, measured by the share of patents with a foreign resident as a co-inventor in the population of patents with a domestic inventor.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
GPC,"Gross Domestic Product per capita, representing a country’s advanced degree.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
RDE,"R&D Expenditure per capita, representing a country’s R&D level.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
FTE,"Full-time equivalent in R&D, indicating the number of inventors participating in research activities.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
GEO,"Geographical proximity, calculated as the average space distance between one country and other countries.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
FDI,"Flows of foreign direct investment, considering outflows as they reflect the international collaboration capability of a country.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
ETV,"Export of global trade value, proxying for the international trade situation.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
DEG,"Degree centrality, a network analysis indicator measuring the importance of nodes in the network structure.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
BET,"Betweenness centrality, a network analysis indicator elaborating the ability of a node to control interactions between pairs of other nodes.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
CLO,"Closeness centrality, a network analysis indicator describing the degree to which a node is not subject to any other node’s control.",RESEARCH ARTICLE International Collaboration Patterns and Effecting Factors of Emerging Technologies
Component Growth,Measured by the count of the number of patents that enter the focal components.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Component Density,A count of the total number of patents in the focal component prior to the date of measurement of the dependent variable.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
System Density,A count of the total number of patents within the domain of biotechnology prior to the date of measurement of the dependent variable.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Component Diversity,Measured via the distribution of patents across sub-components in the focal component over the previous twelve months.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Component Status,"Based on the patent citations received by the focal component, used to measure the status of the component.",The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Local Crowding,Refers to the overlap of the focal components using the same antecedent inventions within the technological system.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Global Crowding,Measures the overlap of the focal components with non-focal technological components outside the technological system.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Organizational Density,A count of the number of organizations active in the technological component in the twelve months prior to the month of observation of the dependent variable.,The Population Ecology of Technology: An Empirical Study of US Biotechnology Patents from 1976 to 2003
Fintech Development,"The annual data on the level of fintech development in the city where the company is located, including aspects such as fintech coverage, depth of use, and degree of digitization.",Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Firm Technological Innovation Efficiency (FTIE),"The ability of a firm to maximize innovation output using given R&D investment, measured by the number of invention patents applied for and granted per unit of R&D investment.",Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Risk Transmission,"The acceleration of financial risk transmission due to the development of fintech, reflected in the stock market through the annual turnover rate of listed company stocks.",Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Debt Pressure,"The debt-to-asset ratio of a firm, indicating the level of debt pressure that can affect the firm's financial stability and innovation efficiency.",Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Firm Growth,The growth rate of total assets at the end of the year.,Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Firm Size,The logarithmic value of the firm size.,Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Board Independence,The ratio of the number of independent directors to the total number of board members.,Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Fixed Asset Ratio,The ratio of total fixed assets to total assets.,Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Capital Concentration Level,"The level of capital concentration, measured by the purchase and construction of fixed assets, intangible assets, and other long-term assets paid in cash per year-end total assets.",Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
Asset-Liability Ratio,The ratio of year-end liabilities to year-end total assets.,Fintech Development and Firm Technological Innovation Efficiency: Empirical Findings in China
CDt index,A measure that quantifies the extent to which an invention consolidates or destabilizes the subsequent use of the components on which it builds.,A Dynamic Network Measure of Technological Change
mCDt index,"A measure that combines the CDt index with an impact weight, characterizing the magnitude of an invention’s consolidation or destabilization of the status quo.",A Dynamic Network Measure of Technological Change
Federal Research Funding,A variable representing the level of financial support from federal sources for academic research.,A Dynamic Network Measure of Technological Change
Commercial Ties,A variable representing the level of engagement of universities with commercial entities.,A Dynamic Network Measure of Technological Change
Patent Impact,"A measure of how much a patent is cited by subsequent patents, indicating its influence in the field.",A Dynamic Network Measure of Technological Change
Government Interest,"A dummy variable indicating whether a patent declares a government interest, implying research leading to the patent was supported by federal grants.",A Dynamic Network Measure of Technological Change
Assignee Type,"A categorical variable representing the type of organization to which a patent is assigned, such as a firm, university, or government entity.",A Dynamic Network Measure of Technological Change
Team Structure,"Variables related to the structure of the team that creates a new technology, including the geographic proximity of inventors and the experience of the team.",A Dynamic Network Measure of Technological Change
Examiner Characteristics,"Variables related to the experience and workload of the patent examiners, which may influence the importance of a patent.",A Dynamic Network Measure of Technological Change
Patent Characteristics,"Variables such as the number of claims, distinctiveness of the invention, and citations of nonpatent literature that may affect a patent's impact and its ability to consolidate or destabilize existing technology.",A Dynamic Network Measure of Technological Change
Acquisition Likelihood,"The dependent variable, estimated as the hazard rate of the high-tech venture being acquired.","High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Technological Knowhow,"Captured by patents assigned to a biotech venture, reflecting the firm's technological capabilities and innovative productivity.","High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Knowledge Partnerships,Computed as the number of alliances a knowledge-intensive biotech venture is engaged in for knowledge exploration or exploitation.,"High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Explorative Partnerships,Operationalized as the number of upstream alliances between the high-tech venture and universities.,"High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Exploitative Partnerships,Counted as the number of downstream alliances between the high-tech venture and pharmaceutical companies.,"High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Firm Age,"Control variable, measured as the number of years since the founding of the high-tech venture.","High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Firm Size,"Control variable, measured as the log of the number of employees in the high-tech venture.","High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Horizontal Alliance Experience,"Control variable, operationalized by counting the number of alliances between a focal biotech firm and its competitors.","High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Product Technology Specialization,"Control variable, measured by counting the number of product technologies in a firm's alliances and categorizing the firm in the product type dummy in which it had the maximum number of total alliances.","High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Year Dummies,Control variable to account for the rate of acquisitions varying during the time period of the study due to industry trends or economic conditions.,"High-Tech Ventures and Industry Incumbents: Knowledge Partnerships, Technological Knowhow, and Acquisition Likelihood"
Second Use Drugs,"Drugs which have had new effects discovered after their original use, different from the original effects, and can be patented as use claims.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Patent Claims,"Legal claims defining the scope of the invention for which a patent is sought, which can indicate the second use of a drug.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Inventive Step,A requirement for patentability that the invention must be non-obvious to a person skilled in the art.,How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
R&D Strategy,"The approach taken by a company, such as Takeda, to balance the development of new drugs and the second use of existing drugs.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Patent Information,"Data collected from patents, including IPC codes, claim descriptions, and joint applicants, used to identify second use drugs.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
IPC Codes,"International Patent Classification codes used to categorize patents, with variations indicating potential second use drugs.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Joint Applicants,"Multiple entities applying for a patent together, which may indicate collaboration in discovering a drug's second use.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Registration Rate,"The percentage of patent applications that are successfully registered, indicating the novelty and inventive step of the second use drugs.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Cancer,"A specific field of drug development, used as a case study in the paper to identify second use drugs.",How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
Takeda Pharmaceutical Company Limited,A pharmaceutical company used as a case study to analyze R&D strategy and the identification of second use drugs.,How Can We Specify the Second Use Drugs from Patent Information?: R&D on the Second Use Drugs May Lead to Further Development of Pharmaceutical Industries
External Knowledge Sourcing (EKS),"A variable that includes three types of external knowledge sources: scientific partners, institutional partners, and indirect partners.",How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Open Technology Strategies (OTS),"A variable that encompasses technology acquisition and coupled strategy, focusing on the implementation level of OTS.",How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Business Performance (BP),"A dependent variable measured by three dimensions: financial performance, new product development performance, and open innovation performance.",How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Ownership Type (OWN),A control variable that differentiates between Turkish domestic companies and subsidiaries of multinational corporations.,How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Industry Type (IND),A control variable that classifies industries into low and high-technology based on the OECD's classification.,How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Company Age (AGE),"A control variable that categorizes companies into young, middle-aged, and mature based on the number of years operational.",How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Company Size (SIZE),A control variable based on the number of employees in five categories.,How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Ownership Structure (STR),A control variable that distinguishes between listed and unlisted firms based on whether their shares are quoted in Borsa Istanbul (BIST).,How Does External Knowledge Sourcing Affect Business Performance in Large-Scale Firms? The Mediating Role of Open Technology Strategies
Patent Reference,The number of prior patents cited by a patent.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
Non-Patent Reference,The number of non-patent literatures cited by a patent.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
Foreign Reference,The number of foreign references cited by a patent.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
Patent Citation Received,The number of citations a patent has received.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
IPC (International Patent Classification),The number of IPC classifications a patent is categorized into.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
UPC (Universal Patent Classification),The number of UPC classifications a patent is categorized into.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
Number of Claims,The number of claims a patent contains.,How to Analyze Technology Life Cycle from the Perspective of Patent Characteristics?
